id,name,contact_phone,email,guardian_name,guardian_phone,skills_qualifications,disability_type,disability_subcategory,age,nationality,trainings_acquired,area_of_interest,current_status,institution_or_employer,suggested_suitability,aptitude_score_percent,aptitude_category,IQ_level
453,Sara Al Blooshi,971522250139,sara.al.blooshi.453@example.com,Majid Al Rumaithi,971588000000,Tailoring,Mental Health,Chronic mental health condition,20,Emirati,"Data entry, Customer service, Barista & cafe skills",Logistics & Warehouse,Working,Gulf Vocational Center,Supportive workplace (part-time),67,Average,100
454,Noor Al Qubaisi,971561537038,noor.al.qubaisi.454@example.com,Hessa Al Mazroui,971553000000,Tailoring,Physical,Mobility impairment (wheelchair user),34,Emirati,"CNC basics, Mobile phone repair, Life skills & mobility training",Logistics & Warehouse,Freelance,Not currently enrolled or employed,"Remote/desk roles (customer support, data entry)",44,Below Average,108
455,Majid Al Qubaisi,971559645465,majid.al.qubaisi.455@example.com,Salma Al Blooshi,971565000000,"Sales support, Transcription, Warehouse assistant",Visual,Low vision,22,Other,,Data & Analytics,Unemployed,Not currently enrolled or employed,"Audio-based roles (call center, voice transcription)",74,Good,125
456,Asha Thomas,971588374907,asha.thomas.456@example.com,Maya Balakrishnan,971551000000,Graphic design,Hearing,Deaf,46,British,"Graphic design, Data entry",Agriculture/Gardening,Working,Not currently enrolled or employed,"Visual roles (data entry, graphic design)",60,Average,102
457,Maya Reddy,971582637484,maya.reddy.457@example.com,Rashid Al Ali,971553000000,Tailoring,Mental Health,Chronic mental health condition,38,Filipino,,Logistics & Warehouse,Working,Gulf Vocational Center,Creative/artisan roles,68,Average,118
458,Mariam Al Muhairi,971522071511,mariam.al.muhairi.458@example.com,Amelia Davis,971527000000,"Social media management, Sales support",Hearing,Hard of hearing,38,Emirati,,Retail,Working,Online training - Coursera,"Visual roles (data entry, graphic design)",63,Average,103
459,Fatima Al Blooshi,971551840908,fatima.al.blooshi.459@example.com,Zainab Al Hosani,971521000000,Accounting basics,Physical,Mobility impairment (wheelchair user),52,Pakistani,Project-based training (3 months),Customer Service,Studying,Online training - Coursera,Accessible admin/IT roles,74,Good,102
460,Ali Al Qubaisi,971549272827,ali.al.qubaisi.460@example.com,Mohammed Al Ali,971521000000,"Handicrafts, Web development",Autism,Autism Spectrum Disorder - High support,26,American,"CNC basics, Life skills & mobility training",Creative/Design,Working,Company A (Retail),"IT & structured tasks (data, QA)",58,Average,102
461,Ravi Varma,971525237360,ravi.varma.461@example.com,Omar Al Hammadi,971589000000,"Transcription, Handicrafts",Autism,Autism Spectrum Disorder - Low support,60,Pakistani,"Barista & cafe skills, Customer service",Customer Service,Unemployed,Not currently enrolled or employed,Creative/design with clear briefs,81,Good,87
462,Lucas Davis,971556170715,lucas.davis.462@example.com,Deepa Reddy,971547000000,"Transcription, Accounting basics, Warehouse assistant",Hearing,Hard of hearing,53,Jordanian,,Logistics & Warehouse,Studying,Special Needs Centre Ras Al Khaimah,On-site assembly/packing,66,Average,91
463,Latifa Al Mazroui,971526882850,latifa.al.mazroui.463@example.com,Emma Clark,971524000000,"Handicrafts, IT support",Learning,Dyslexia / learning difficulty,55,Emirati,"Basic IT (MS Office), Sign language (advanced)",Sales & Marketing,Unemployed,Not currently enrolled or employed,Supervised admin tasks,82,Good,81
464,Lucas Williams,971546022939,lucas.williams.464@example.com,Farah Reddy,971589000000,Sales support,Multiple,Multiple disabilities,42,Indian,"Project-based training (3 months), Basic IT (MS Office)",Sales & Marketing,Vocational training,Technical College Abu Dhabi,Customized supported employment plan,56,Average,104
465,Maya Nair,971583111271,maya.nair.465@example.com,Saeed Al Muhairi,971585000000,"Handicrafts, Graphic design",Hearing,Hard of hearing,22,Syrian,"Sign language (basic), Customer service, Soft skills & communication",IT & Digital,Working,Higher Learning Dubai,"Visual roles (data entry, graphic design)",88,Excellent,99
466,Huda Al Muhairi,971501369572,huda.al.muhairi.466@example.com,Mohammed Al Hammadi,971563000000,"Admin assistance, Handicrafts",Hearing,Deaf,32,Other,,Education Support,Working,Special Needs Centre Ras Al Khaimah,Back-office admin roles,56,Average,122
467,Hamad Al Hammadi,971525707139,hamad.al.hammadi.467@example.com,Kamal Nair,971529000000,Warehouse assistant,Autism,Autism Spectrum Disorder - High support,17,Filipino,"Advanced IT (Web dev), Customer service",Technical Repair,Studying,Online training - Coursera,"IT & structured tasks (data, QA)",43,Below Average,73
468,Rashid Al Mazroui,971526913098,rashid.al.mazroui.468@example.com,Omar Al Qubaisi,971586000000,"Admin assistance, Sales support, Web development",Autism,Autism Spectrum Disorder - Low support,32,Indian,"Life skills & mobility training, Retail operations, Sign language (advanced)",Retail,Working,Not currently enrolled or employed,"IT & structured tasks (data, QA)",71,Good,93
469,Lucas Jones,971525064207,lucas.jones.469@example.com,Latifa Al Neyadi,971553000000,"Admin assistance, Kitchen assistant",Mental Health,Chronic mental health condition,44,Indian,"Barista & cafe skills, Warehouse operations",Retail,Unemployed,Not currently enrolled or employed,Flexible hours roles (remote work),49,Below Average,108
470,Khalid Al Qubaisi,971529578654,khalid.al.qubaisi.470@example.com,Ali Al Shamsi,971509000000,Security,Visual,Blind / no vision,37,Pakistani,"Vocational tailoring, CNC basics, Basic IT (MS Office)",Accounting/Finance,Studying,Company C (IT services),IT roles with screen-reader support,68,Average,93
471,Rashid Al Muhairi,971586932657,rashid.al.muhairi.471@example.com,Ali Al Shamsi,971550000000,Warehouse assistant,Physical,Mobility impairment (wheelchair user),16,Other,,Manufacturing,Freelance,Not currently enrolled or employed,Accessible admin/IT roles,45,Below Average,110
472,Ali Al Neyadi,971541595977,ali.al.neyadi.472@example.com,Hamad Al Mansoori,971542000000,"Transcription, Sales support, Social media management",Autism,Autism Spectrum Disorder - High support,55,Indian,Hospitality training,Sales & Marketing,Freelance,Not currently enrolled or employed,Creative/design with clear briefs,74,Good,98
473,Mohammed Al Muhairi,971557672095,mohammed.al.muhairi.473@example.com,Amelia Allen,971527000000,"Retail cashier, Security, Web development",Hearing,Deaf,20,Emirati,,Technical Repair,Unemployed,Not currently enrolled or employed,Back-office admin roles,92,Excellent,87
474,Saeed Al Mansoori,971581597099,saeed.al.mansoori.474@example.com,Hamad Al Blooshi,971524000000,Retail cashier,Hearing,Deaf,26,Emirati,"CNC basics, Mobile phone repair",Manufacturing,Studying,Not currently enrolled or employed,Back-office admin roles,42,Below Average,91
475,Ravi Varma,971560290904,ravi.varma.475@example.com,Omar Al Falasi,971550000000,"Social media management, Transcription",Intellectual,Mild intellectual disability,37,Emirati,Online freelancing (Upwork),Handicrafts & Art,Working,Company A (Retail),Hospitality support roles with routines,64,Average,102
476,Saeed Al Ali,971500213125,saeed.al.ali.476@example.com,Rashid Al Neyadi,971521000000,"Warehouse assistant, IT support",Visual,Low vision,53,Filipino,,IT & Digital,Unemployed,Not currently enrolled or employed,"Audio-based roles (call center, voice transcription)",61,Average,104
477,Emma Johnson,971501063301,emma.johnson.477@example.com,Majid Al Neyadi,971554000000,"Data entry, Graphic design, Accounting basics",Multiple,Multiple disabilities,19,Indian,Data entry,Retail,Unemployed,Not currently enrolled or employed,Customized supported employment plan,46,Below Average,117
478,Arjun Thomas,971501325326,arjun.thomas.478@example.com,Deepa Patel,971567000000,"Social media management, Retail cashier, Accounting basics",Mental Health,Chronic mental health condition,31,Pakistani,,IT & Digital,Studying,Community College Sharjah,Creative/artisan roles,63,Average,113
479,Yusuf Al Hosani,971587015959,yusuf.al.hosani.479@example.com,Ravi Balakrishnan,971546000000,"Handicrafts, Bookkeeping, Accounting basics",Speech,Speech impairment,47,Indian,,Accounting/Finance,Working,Company A (Retail),IT & digital work,70,Good,105
480,Huda Al Shamsi,971527722660,huda.al.shamsi.480@example.com,Sophia Davis,971523000000,Security,Autism,Autism Spectrum Disorder - Low support,27,Emirati,"Customer service, Data entry, Barista & cafe skills",Administration,Studying,Private School Abu Dhabi,"IT & structured tasks (data, QA)",73,Good,105
481,Latifa Al Mansoori,971523797662,latifa.al.mansoori.481@example.com,Rahul Kumar,971541000000,Assembly & packing,Visual,Blind / no vision,49,Other,"Basic IT (MS Office), Bookkeeping, Vocational tailoring",Manufacturing,Vocational training,Freelance / Self-employed,IT roles with screen-reader support,74,Good,115
482,Aisha Al Qubaisi,971528455259,aisha.al.qubaisi.482@example.com,Emma Smith,971556000000,"Warehouse assistant, Gardening, Tailoring",Learning,Dyslexia / learning difficulty,46,Syrian,Customer service,Manufacturing,Unemployed,Not currently enrolled or employed,Hands-on vocational work,67,Average,108
483,Olivia Allen,971563379705,olivia.allen.483@example.com,Ravi Reddy,971523000000,"Handicrafts, Social media management",Autism,Autism Spectrum Disorder - Low support,33,Emirati,Retail operations,Creative/Design,Unemployed,Not currently enrolled or employed,Creative/design with clear briefs,63,Average,117
484,Ahmed Al Blooshi,971549782457,ahmed.al.blooshi.484@example.com,Amelia Hall,971524000000,"Assembly & packing, Data entry",Autism,Autism Spectrum Disorder - High support,48,Indian,"Data entry, Sign language (basic)",Retail,Working,Technical College Abu Dhabi,Supported workplace with routine,54,Average,121
485,Anoop Singh,971547276829,anoop.singh.485@example.com,Saeed Al Hosani,971547000000,IT support,Autism,Autism Spectrum Disorder - Low support,24,Indian,,Creative/Design,Working,Company A (Retail),Creative/design with clear briefs,64,Average,82
486,Huda Al Ali,971506562590,huda.al.ali.486@example.com,Priya Balakrishnan,971529000000,"Accounting basics, Bookkeeping, Graphic design",Physical,Limb loss / amputation,24,Emirati,"Retail operations, Barista & cafe skills",Hospitality,Working,Higher Learning Dubai,Accessible admin/IT roles,66,Average,91
487,Mohammed Al Ali,971556281372,mohammed.al.ali.487@example.com,Hessa Al Neyadi,971521000000,Web development,Physical,Mobility impairment (wheelchair user),30,Jordanian,"Barista & cafe skills, Warehouse operations",Data & Analytics,Vocational training,Private School Abu Dhabi,"Remote/desk roles (customer support, data entry)",77,Good,92
488,Sanjay Cherian,971506810390,sanjay.cherian.488@example.com,Rashid Al Shamsi,971505000000,"Tailoring, Retail cashier, Social media management",Visual,Blind / no vision,25,Pakistani,"Soft skills & communication, Warehouse operations",Retail,Unemployed,Not currently enrolled or employed,IT roles with screen-reader support,58,Average,77
489,Khalid Al Blooshi,971546147079,khalid.al.blooshi.489@example.com,Mason Davis,971522000000,"Handicrafts, Gardening",Speech,Speech impairment,52,Jordanian,"Retail operations, CNC basics",IT & Digital,Vocational training,Online training - Coursera,Graphic design/creative roles,58,Average,70
490,Ethan Williams,971560403253,ethan.williams.490@example.com,Asha Reddy,971586000000,"Bookkeeping, Graphic design, IT support",Autism,Autism Spectrum Disorder - High support,54,Indian,,Creative/Design,Studying,Technical College Abu Dhabi,"IT & structured tasks (data, QA)",41,Below Average,109
491,Liam Jones,971556921053,liam.jones.491@example.com,Anoop Thomas,971541000000,IT support,Hearing,Hard of hearing,25,Indian,,Technical Repair,Freelance,Not currently enrolled or employed,On-site assembly/packing,76,Good,105
492,Aisha Al Hosani,971583798440,aisha.al.hosani.492@example.com,Maya Singh,971582000000,"Accounting basics, Data entry",Intellectual,Moderate intellectual disability,43,Bangladeshi,,Sales & Marketing,Studying,Special Needs Centre Ras Al Khaimah,Hospitality support roles with routines,50,Average,99
493,Omar Al Neyadi,971524043370,omar.al.neyadi.493@example.com,Liam Allen,971527000000,"Transcription, Accounting basics",Physical,Limb loss / amputation,54,Indian,"Retail operations, Life skills & mobility training",Logistics & Warehouse,Studying,Not currently enrolled or employed,Supervised workshop tasks,64,Average,86
494,Hamad Al Qubaisi,971555754278,hamad.al.qubaisi.494@example.com,Yusuf Al Hosani,971564000000,Warehouse assistant,Multiple,Multiple disabilities,59,Emirati,Project-based training (3 months),Manufacturing,Working,Not currently enrolled or employed,Customized supported employment plan,87,Excellent,110
495,Rashid Al Muhairi,971523616188,rashid.al.muhairi.495@example.com,Aisha Al Qubaisi,971505000000,"Content writing, Security",Hearing,Deaf,39,Pakistani,Special education support,Manufacturing,Unemployed,Not currently enrolled or employed,Back-office admin roles,61,Average,100
496,Ravi Raj,971587230817,ravi.raj.496@example.com,Fatima Al Rumaithi,971544000000,Handicrafts,Physical,Mobility impairment (wheelchair user),17,Emirati,Graphic design,Hospitality,Working,Higher Learning Dubai,Accessible admin/IT roles,68,Average,75
497,Lucas Smith,971589456534,lucas.smith.497@example.com,Rashid Al Shamsi,971590000000,"Security, Transcription",Hearing,Deaf,17,Indian,,Education Support,Vocational training,Company C (IT services),On-site assembly/packing,61,Average,91
498,Mia Smith,971550717481,mia.smith.498@example.com,Aisha Al Shamsi,971555000000,"IT support, Data entry",Autism,Autism Spectrum Disorder - High support,44,Emirati,Special education support,Creative/Design,Vocational training,Technical College Abu Dhabi,Supported workplace with routine,49,Below Average,96
499,Majid Al Muhairi,971554968049,majid.al.muhairi.499@example.com,Majid Al Shamsi,971527000000,Handicrafts,Intellectual,Mild intellectual disability,23,Egyptian,"Online freelancing (Upwork), Sign language (advanced), Basic IT (MS Office)",Education Support,Unemployed,Not currently enrolled or employed,Hospitality support roles with routines,91,Excellent,107
500,Lucas Smith,971542359737,lucas.smith.500@example.com,Emma Brown,971522000000,"Content writing, Kitchen assistant, Transcription",Hearing,Deaf,60,Indian,,Education Support,Working,Special Needs Centre Ras Al Khaimah,On-site assembly/packing,56,Average,106
501,Anoop Singh,971501457683,anoop.singh.501@example.com,Noah Brown,971502000000,Accounting basics,Hearing,Deaf,51,Indian,"Hospitality training, Life skills & mobility training, Advanced IT (Web dev)",Administration,Studying,Special Needs Centre Ras Al Khaimah,"Visual roles (data entry, graphic design)",85,Excellent,111
502,Anoop Kumar,971540801849,anoop.kumar.502@example.com,Sanjay Nair,971544000000,"Transcription, Graphic design, Web development",Visual,Blind / no vision,22,Emirati,Soft skills & communication,Retail,Unemployed,Not currently enrolled or employed,"Audio-based roles (call center, voice transcription)",65,Average,92
503,Ravi Balakrishnan,971523653460,ravi.balakrishnan.503@example.com,Anjali Varma,971526000000,Sales support,Multiple,Multiple disabilities,30,Jordanian,"Vocational tailoring, Sign language (advanced), Soft skills & communication",Handicrafts & Art,Working,Higher Learning Dubai,Customized supported employment plan,75,Good,104
504,Ahmed Al Falasi,971508120546,ahmed.al.falasi.504@example.com,Saeed Al Mansoori,971529000000,"Tailoring, Gardening, Web development",Intellectual,Mild intellectual disability,60,Filipino,"Barista & cafe skills, Graphic design, Online freelancing (Upwork)",Manufacturing,Working,Company C (IT services),Hospitality support roles with routines,78,Good,107
505,Hessa Al Mansoori,971524983553,hessa.al.mansoori.505@example.com,Priya Patel,971526000000,"Web development, Retail cashier, Handicrafts",Learning,Dyslexia / learning difficulty,58,Emirati,"Life skills & mobility training, Project-based training (3 months)",Manufacturing,Studying,Company A (Retail),Hands-on vocational work,80,Good,93
506,Ravi Thomas,971584339527,ravi.thomas.506@example.com,Huda Al Shamsi,971585000000,"Transcription, Security",Autism,Autism Spectrum Disorder - Low support,20,Indian,,Hospitality,Studying,Special Needs Centre Ras Al Khaimah,Creative/design with clear briefs,84,Good,102
507,Kamal Balakrishnan,971524896340,kamal.balakrishnan.507@example.com,Mia Allen,971508000000,Customer support,Physical,Limb loss / amputation,39,Syrian,,Handicrafts & Art,Studying,Company B (Hospitality),Accessible admin/IT roles,96,Excellent,91
508,Aisha Al Rumaithi,971586309001,aisha.al.rumaithi.508@example.com,Mariam Al Rumaithi,971545000000,"Bookkeeping, Web development",Autism,Autism Spectrum Disorder - Low support,33,Other,,Logistics & Warehouse,Vocational training,Online training - Coursera,"IT & structured tasks (data, QA)",91,Excellent,102
509,Lucas Williams,971569021994,lucas.williams.509@example.com,Emma Brown,971526000000,Retail cashier,Visual,Blind / no vision,33,Emirati,"Special education support, Warehouse operations, CNC basics",Administration,Studying,Higher Learning Dubai,"Tactile/vocational roles (tailoring, assembly)",55,Average,94
510,Maya Nair,971586960843,maya.nair.510@example.com,Mia Davis,971529000000,"Web development, Graphic design",Intellectual,Mild intellectual disability,44,Filipino,"Vocational tailoring, Warehouse operations, Sign language (basic)",Administration,Working,Private School Abu Dhabi,Supported employment with job coach,60,Average,105
511,Noor Al Neyadi,971559709317,noor.al.neyadi.511@example.com,Anjali Reddy,971566000000,"Bookkeeping, Social media management",Intellectual,Mild intellectual disability,21,Indian,"Data entry, Online freelancing (Upwork)",Retail,Studying,Company C (IT services),Hospitality support roles with routines,72,Good,93
512,Kamal Raj,971520650312,kamal.raj.512@example.com,Latifa Al Mazroui,971542000000,Bookkeeping,Multiple,Multiple disabilities,43,Indian,"Bookkeeping, Vocational tailoring, Soft skills & communication",Hospitality,Studying,Higher Learning Dubai,Customized supported employment plan,64,Average,125
513,Deepa Menon,971522487623,deepa.menon.513@example.com,Khalid Al Qubaisi,971581000000,"Accounting basics, Web development",Speech,Speech impairment,45,Pakistani,Sign language (advanced),Data & Analytics,Studying,Gulf Vocational Center,IT & digital work,90,Excellent,105
514,Anjali Mohan,971560622072,anjali.mohan.514@example.com,Olivia Allen,971526000000,Tailoring,Mental Health,Chronic mental health condition,23,Egyptian,,Hospitality,Freelance,Not currently enrolled or employed,Flexible hours roles (remote work),65,Average,101
515,Sara Al Ali,971527688687,sara.al.ali.515@example.com,Mason Taylor,971530000000,Handicrafts,Autism,Autism Spectrum Disorder - High support,47,Emirati,,Agriculture/Gardening,Freelance,Not currently enrolled or employed,Creative/design with clear briefs,74,Good,87
516,Yusuf Al Falasi,971554505730,yusuf.al.falasi.516@example.com,Ali Al Shamsi,971529000000,"Admin assistance, Tailoring",Visual,Blind / no vision,44,Indian,"Sign language (basic), CNC basics",Retail,Working,Technical College Abu Dhabi,"Audio-based roles (call center, voice transcription)",61,Average,79
517,Emma Jones,971540576619,emma.jones.517@example.com,Majid Al Ali,971551000000,Web development,Autism,Autism Spectrum Disorder - High support,26,Emirati,"Advanced IT (Web dev), Basic IT (MS Office)",Logistics & Warehouse,Studying,Company B (Hospitality),Creative/design with clear briefs,70,Good,107
518,Huda Al Blooshi,971529759545,huda.al.blooshi.518@example.com,Majid Al Qubaisi,971508000000,Security,Autism,Autism Spectrum Disorder - High support,20,Other,"CNC basics, Data entry",Retail,Studying,Online training - Coursera,"IT & structured tasks (data, QA)",57,Average,118
519,Sanjay Reddy,971520040236,sanjay.reddy.519@example.com,Anoop Nair,971559000000,"Graphic design, Bookkeeping",Multiple,Multiple disabilities,18,Indian,"Vocational tailoring, Online freelancing (Upwork), Hospitality training",Hospitality,Vocational training,Community College Sharjah,Customized supported employment plan,46,Below Average,82
520,Priya Cherian,971549885582,priya.cherian.520@example.com,Reema Thomas,971568000000,"Retail cashier, Sales support, Security",Intellectual,Moderate intellectual disability,33,Indian,,Agriculture/Gardening,Working,Special Needs Centre Ras Al Khaimah,"Structured vocational roles (assembly, packaging)",68,Average,112
521,Mason Williams,971523372188,mason.williams.521@example.com,Huda Al Falasi,971565000000,Assembly & packing,Learning,Dyslexia / learning difficulty,20,Syrian,"Mobile phone repair, Customer service, Project-based training (3 months)",Customer Service,Freelance,Not currently enrolled or employed,Supervised admin tasks,90,Excellent,94
522,Emma Jones,971527769366,emma.jones.522@example.com,Ethan Williams,971563000000,Data entry,Multiple,Multiple disabilities,21,Emirati,Life skills & mobility training,Education Support,Working,Higher Learning Dubai,Customized supported employment plan,81,Good,99
523,Noah Smith,971507202455,noah.smith.523@example.com,Ravi Kumar,971525000000,Accounting basics,Autism,Autism Spectrum Disorder - Low support,16,Bangladeshi,"Online freelancing (Upwork), Hospitality training, Data entry",Agriculture/Gardening,Working,Company B (Hospitality),"IT & structured tasks (data, QA)",62,Average,110
524,Ethan Johnson,971507942817,ethan.johnson.524@example.com,Asha Patel,971507000000,"Assembly & packing, Bookkeeping",Hearing,Hard of hearing,34,Filipino,"Barista & cafe skills, Sign language (basic)",Administration,Working,Not currently enrolled or employed,"Visual roles (data entry, graphic design)",74,Good,81
525,Mohammed Al Qubaisi,971502172214,mohammed.al.qubaisi.525@example.com,Asha Varma,971564000000,"Customer support, Kitchen assistant, Accounting basics",Hearing,Hard of hearing,29,American,"Sign language (basic), Retail operations, Graphic design",IT & Digital,Studying,Special Needs Centre Ras Al Khaimah,On-site assembly/packing,87,Excellent,116
526,Omar Al Shamsi,971586572565,omar.al.shamsi.526@example.com,Amelia Johnson,971502000000,"Sales support, Social media management, Handicrafts",Physical,Mobility impairment (wheelchair user),24,Emirati,Mobile phone repair,IT & Digital,Unemployed,Not currently enrolled or employed,Supervised workshop tasks,55,Average,104
527,Saeed Al Qubaisi,971545017833,saeed.al.qubaisi.527@example.com,Majid Al Mansoori,971567000000,"Gardening, Transcription, Retail cashier",Speech,Speech impairment,18,Indian,"Advanced IT (Web dev), Bookkeeping, Barista & cafe skills",IT & Digital,Working,Freelance / Self-employed,"Back-office roles (data entry, admin)",72,Good,103
528,Farah Reddy,971559935937,farah.reddy.528@example.com,Mohammed Al Neyadi,971589000000,"Bookkeeping, Security",Physical,Mobility impairment (wheelchair user),30,Other,,Education Support,Studying,Higher Learning Dubai,Accessible admin/IT roles,56,Average,91
529,Farah Mohan,971550849079,farah.mohan.529@example.com,Latifa Al Mansoori,971521000000,"Graphic design, Warehouse assistant",Learning,Dyslexia / learning difficulty,28,Emirati,Online freelancing (Upwork),IT & Digital,Studying,Not currently enrolled or employed,Hands-on vocational work,64,Average,114
530,Noor Al Hammadi,971546263251,noor.al.hammadi.530@example.com,Sanjay Patel,971568000000,Admin assistance,Physical,Limb loss / amputation,33,Other,"Hospitality training, Soft skills & communication",Data & Analytics,Unemployed,Not currently enrolled or employed,Supervised workshop tasks,73,Good,95
531,Ravi Cherian,971589415152,ravi.cherian.531@example.com,Khalid Al Ali,971541000000,"Handicrafts, Sales support, Kitchen assistant",Visual,Low vision,49,Bangladeshi,,Manufacturing,Unemployed,Not currently enrolled or employed,"Tactile/vocational roles (tailoring, assembly)",76,Good,65
532,Majid Al Falasi,971522397913,majid.al.falasi.532@example.com,Mia Hall,971528000000,"Data entry, Kitchen assistant",Intellectual,Moderate intellectual disability,28,Emirati,"Mobile phone repair, Basic IT (MS Office)",Manufacturing,Unemployed,Not currently enrolled or employed,"Structured vocational roles (assembly, packaging)",82,Good,79
533,Aisha Al Qubaisi,971568192778,aisha.al.qubaisi.533@example.com,Sophia Brown,971561000000,"Web development, Social media management",Physical,Mobility impairment (wheelchair user),22,Emirati,"Customer service, Data entry, Barista & cafe skills",Creative/Design,Working,Higher Learning Dubai,Supervised workshop tasks,59,Average,86
534,Omar Al Mansoori,971584600452,omar.al.mansoori.534@example.com,Reema Nair,971570000000,Accounting basics,Speech,Speech impairment,37,Indian,Special education support,Data & Analytics,Studying,Technical College Abu Dhabi,IT & digital work,45,Below Average,113
535,Latifa Al Ali,971521898484,latifa.al.ali.535@example.com,Huda Al Mazroui,971546000000,"Customer support, Sales support",Physical,Limb loss / amputation,53,Emirati,"Warehouse operations, Life skills & mobility training",Hospitality,Working,Company C (IT services),Supervised workshop tasks,57,Average,104
536,Olivia Brown,971542291073,olivia.brown.536@example.com,Neha Nair,971588000000,Customer support,Speech,Speech impairment,28,Indian,"Sign language (basic), Warehouse operations, Project-based training (3 months)",Creative/Design,Working,Community College Sharjah,"Back-office roles (data entry, admin)",64,Average,105
537,Rashid Al Falasi,971564439164,rashid.al.falasi.537@example.com,Maya Kumar,971507000000,"Bookkeeping, Web development, Customer support",Multiple,Multiple disabilities,57,Filipino,Sign language (advanced),Accounting/Finance,Studying,Higher Learning Dubai,Customized supported employment plan,66,Average,84
538,Neha Raj,971541903106,neha.raj.538@example.com,Khalid Al Shamsi,971522000000,Web development,Learning,Dyslexia / learning difficulty,33,Indian,Warehouse operations,Manufacturing,Studying,Freelance / Self-employed,Hands-on vocational work,79,Good,94
539,Omar Al Mansoori,971550406720,omar.al.mansoori.539@example.com,Reema Kumar,971588000000,"Data entry, Sales support",Visual,Low vision,34,Indian,,Agriculture/Gardening,Working,Special Needs Centre Ras Al Khaimah,IT roles with screen-reader support,41,Below Average,94
540,Khalid Al Rumaithi,971524764273,khalid.al.rumaithi.540@example.com,Ali Al Mazroui,971524000000,"Social media management, IT support, Tailoring",Physical,Limb loss / amputation,33,Jordanian,"Warehouse operations, Basic IT (MS Office)",Hospitality,Vocational training,Higher Learning Dubai,"Remote/desk roles (customer support, data entry)",87,Excellent,110
541,Ethan Williams,971528998278,ethan.williams.541@example.com,Ahmed Al Blooshi,971529000000,"Assembly & packing, Social media management, Gardening",Visual,Low vision,22,Jordanian,Warehouse operations,Sales & Marketing,Unemployed,Not currently enrolled or employed,IT roles with screen-reader support,59,Average,95
542,Priya Singh,971557933505,priya.singh.542@example.com,Salma Al Ali,971547000000,Handicrafts,Autism,Autism Spectrum Disorder - Low support,24,Emirati,"Mobile phone repair, Life skills & mobility training, Graphic design",Hospitality,Vocational training,Company B (Hospitality),Creative/design with clear briefs,60,Average,124
543,Arjun Thomas,971523510409,arjun.thomas.543@example.com,Hessa Al Hammadi,971567000000,"Bookkeeping, Customer support, Sales support",Physical,Limb loss / amputation,32,Bangladeshi,"Life skills & mobility training, Vocational tailoring",Sales & Marketing,Unemployed,Not currently enrolled or employed,Supervised workshop tasks,70,Good,105
544,Omar Al Neyadi,971526511893,omar.al.neyadi.544@example.com,Ethan Smith,971556000000,"Handicrafts, Accounting basics",Learning,Dyslexia / learning difficulty,52,Emirati,Sign language (advanced),Accounting/Finance,Studying,Gulf Vocational Center,Roles with assistive tech (auditory support),80,Good,102
545,Olivia Johnson,971547073920,olivia.johnson.545@example.com,Khalid Al Blooshi,971585000000,"Accounting basics, Assembly & packing, IT support",Physical,Mobility impairment (wheelchair user),26,Indian,,Data & Analytics,Studying,Higher Learning Dubai,"Remote/desk roles (customer support, data entry)",61,Average,97
546,Yusuf Al Neyadi,971582488899,yusuf.al.neyadi.546@example.com,Mia Johnson,971530000000,"Tailoring, Handicrafts",Autism,Autism Spectrum Disorder - Low support,44,Indian,,Administration,Working,Private School Abu Dhabi,Supported workplace with routine,63,Average,99
547,Ravi Balakrishnan,971502038187,ravi.balakrishnan.547@example.com,Rashid Al Rumaithi,971582000000,"Transcription, Graphic design, Bookkeeping",Visual,Blind / no vision,19,Pakistani,,Manufacturing,Working,Higher Learning Dubai,"Tactile/vocational roles (tailoring, assembly)",75,Good,100
548,Latifa Al Muhairi,971522067323,latifa.al.muhairi.548@example.com,Ravi Mohan,971530000000,"Data entry, Customer support",Intellectual,Moderate intellectual disability,26,Egyptian,,Data & Analytics,Studying,Freelance / Self-employed,Hospitality support roles with routines,75,Good,99
549,Ahmed Al Hosani,971542911371,ahmed.al.hosani.549@example.com,Latifa Al Hammadi,971541000000,"Retail cashier, Tailoring, Social media management",Learning,Dyslexia / learning difficulty,23,Bangladeshi,Graphic design,Logistics & Warehouse,Unemployed,Not currently enrolled or employed,Hands-on vocational work,66,Average,76
550,Kamal Cherian,971547812248,kamal.cherian.550@example.com,Anjali Varma,971557000000,"Bookkeeping, Security",Autism,Autism Spectrum Disorder - Low support,19,Emirati,"Barista & cafe skills, Graphic design",Manufacturing,Unemployed,Not currently enrolled or employed,Creative/design with clear briefs,78,Good,104
551,Anoop Reddy,971561362483,anoop.reddy.551@example.com,Sophia Smith,971544000000,Bookkeeping,Learning,Dyslexia / learning difficulty,46,Emirati,"Project-based training (3 months), Life skills & mobility training, CNC basics",Agriculture/Gardening,Working,Technical College Abu Dhabi,Hands-on vocational work,79,Good,65
552,Reema Mohan,971522104016,reema.mohan.552@example.com,Majid Al Hosani,971568000000,"Handicrafts, Content writing",Intellectual,Moderate intellectual disability,31,Pakistani,,Education Support,Working,Gulf Vocational Center,Hospitality support roles with routines,96,Excellent,98
553,Huda Al Qubaisi,971584289464,huda.al.qubaisi.553@example.com,Salma Al Falasi,971523000000,Security,Speech,Speech impairment,32,Emirati,"Warehouse operations, Vocational tailoring",Manufacturing,Freelance,Not currently enrolled or employed,IT & digital work,81,Good,87
